n-Pentane (C5H12),6.8447,1060.7930,231.5410,13.3,36.8
i-Pentane (C5H12),6.7346,992.0190,229.5640,16.3,28.6
1-Pentanol (C5H12O),7.1825,1287.6250,161.3300,74.7,156
1-Pentene (C5H10),6.8427,1043.2060,233.3440,12.8,30.7
Phenol (C6H6O),7.1330,1516.7900,174.9540,107.2,181.8
1-Propanol (C3H8O),7.7442,1437.6860,198.4630,60.2,104.6
2-Propanol (C3H8O),7.7402,1359.5170,197.5270,52.3,89.3
Propionic acid (C3H6O2),7.7142,1733.4180,217.7240,72.4,128.3
Propylene oxide (C3H6O),7.0144,1086.3690,228.5940,-24.2,34.8
Pyridine (C5H5N),7.0412,1373.7990,214.9790,67.3,152.9
Styrene (C8H8),7.0662,1507.4340,214.9850,29.9,144.8
Toluene (C7H8),6.9581,1346.7730,219.6930,35.3,111.5
1.1.1-Trichloroethane (C2H3C3l),8.6434,2136.6210,302.7690,-5.4,16.9
1.1.2-Trichloroethane (C2H3C3l),6.9519,1314.4100,209.1970,50,113.7
Trichloroethylene (C2HCl3),6.5183,1018.6030,192.7310,17.8,86.5
Vinyl acetate (C4H6O2),7.2101,1296.1300,226.6550,21.8,72
Water (H2O),8.1077,1750.2860,235.0000,0,60
Water* (H2O),7.9668,1668.2100,228.0000,60,150
m-Xylene (C8H10),7.0065,1460.1830,214.8270,59.2,140
o-Xylene (C8H10),7.0015,1476.3930,213.8720,63.5,145.4
p-Xylene (C8H10),6.9882,1451.7920,215.1110,58.3,139.3
